S/N,Date,Branch,Pizza Sold,Price,Quantity,Time,Time Range,,
1,12/11/2015,Ibadan,Meatzaa,2000,5,8:00:01 AM,Before 9:00am,,
2,12/14/2015,Ikoyi,Extravaganza,2000,4,8:00:02 AM,Before 9:00am,,
3,12/4/2015,Lekki,BBQ Chicken,4000,5,8:00:04 AM,Before 9:00am,,
4,12/14/2015,Ikoyi,Extravaganza,2000,1,8:00:07 AM,Before 9:00am,,
5,12/7/2015,Gbagada,Meatzaa,2000,4,8:00:08 AM,Before 9:00am,,
6,12/8/2015,Surulere,Hot Veggie,4000,2,8:00:14 AM,Before 9:00am,,
7,12/4/2015,Ibadan,BBQ Philly Steak,4000,5,8:00:20 AM,Before 9:00am,,
8,12/7/2015,Ikoyi,Chicken Feast,2000,1,8:00:20 AM,Before 9:00am,,
9,12/7/2015,Gbagada,Meatzaa,2000,3,8:00:22 AM,Before 9:00am,,
10,12/4/2015,Ibadan,Chicken Suya,4000,5,8:00:25 AM,Before 9:00am,,
11,12/12/2015,Lekki,Chicken Legend,2000,5,8:00:26 AM,Before 9:00am,,
12,12/9/2015,Gbagada,BBQ Philly Steak,4000,4,8:00:27 AM,Before 9:00am,,
13,12/15/2015,Gbagada,Chicken Suya,4000,2,8:00:29 AM,Before 9:00am,,
14,12/11/2015,Ibadan,Chicken Feast,2000,5,8:00:33 AM,Before 9:00am,,
15,12/5/2015,Surulere,Chicken Feast,2000,4,8:00:33 AM,Before 9:00am,,
16,12/7/2015,Lekki,Beef Suya,3000,5,8:00:34 AM,Before 9:00am,,
17,12/8/2015,Gbagada,Chicken Feast,2000,5,8:00:35 AM,Before 9:00am,,
18,12/14/2015,Lekki,Hot Veggie,4000,5,8:00:35 AM,Before 9:00am,,
19,12/11/2015,Surulere,Meatzaa,2000,5,8:00:35 AM,Before 9:00am,,
20,12/11/2015,Ibadan,Meatzaa,2000,2,8:00:36 AM,Before 9:00am,,
21,12/6/2015,Lekki,Margarita,4000,3,8:00:37 AM,Before 9:00am,,
22,12/14/2015,Surulere,Italiano,3000,5,8:00:40 AM,Before 9:00am,,
23,12/14/2015,Gbagada,Hot Veggie,4000,2,8:00:45 AM,Before 9:00am,,
24,12/8/2015,Ikoyi,Pepperoni Suya,3000,3,8:00:45 AM,Before 9:00am,,
25,12/9/2015,Lekki,Veggie Supreme,3000,5,8:00:48 AM,Before 9:00am,,
26,12/4/2015,Ibadan,Hot Pepperoni Feast,4000,3,8:00:49 AM,Before 9:00am,,
27,12/9/2015,Ikoyi,Chicken Legend,2000,4,8:00:49 AM,Before 9:00am,,
28,12/3/2015,Ibadan,BBQ Philly Steak,4000,1,8:00:52 AM,Before 9:00am,,
29,12/14/2015,Ikoyi,Hot Pepperoni Feast,4000,2,8:00:56 AM,Before 9:00am,,
30,12/6/2015,Lekki,Chicken Bali,2000,4,8:00:56 AM,Before 9:00am,,
31,12/3/2015,Lekki,Chicken Feast,2000,3,8:00:57 AM,Before 9:00am,,
32,12/5/2015,Ikoyi,Veggie Supreme,3000,2,8:00:57 AM,Before 9:00am,,
33,12/13/2015,Gbagada,Extravaganza,2000,4,8:01:00 AM,Before 9:00am,,
34,12/13/2015,Ibadan,Pepperoni Suya,3000,4,8:01:01 AM,Before 9:00am,,
35,12/4/2015,Gbagada,Veggie Supreme,3000,2,8:01:02 AM,Before 9:00am,,
36,12/8/2015,Ikoyi,Extravaganza,2000,2,8:01:08 AM,Before 9:00am,,
37,12/11/2015,Lekki,Italiano,3000,2,8:01:14 AM,Before 9:00am,,
38,12/9/2015,Lekki,BBQ Philly Steak,4000,2,8:01:16 AM,Before 9:00am,,
39,12/14/2015,Ibadan,Pepperoni Feast,4000,5,8:01:16 AM,Before 9:00am,,
40,12/5/2015,Lekki,Chicken Bali,2000,4,8:01:17 AM,Before 9:00am,,
41,12/5/2015,Lekki,Pepperoni Suya,3000,2,8:01:18 AM,Before 9:00am,,
42,12/10/2015,Gbagada,BBQ Philly Steak,4000,5,8:01:20 AM,Before 9:00am,,
43,12/12/2015,Surulere,Chicken Bali,2000,3,8:01:21 AM,Before 9:00am,,
44,12/11/2015,Gbagada,Italiano,3000,5,8:01:22 AM,Before 9:00am,,
45,12/10/2015,Gbagada,BBQ Philly Steak,4000,4,8:01:26 AM,Before 9:00am,,
46,12/8/2015,Lekki,Hot Pepperoni Feast,4000,5,8:01:28 AM,Before 9:00am,,
47,12/9/2015,Lekki,Chicken Legend,2000,2,8:01:31 AM,Before 9:00am,,
48,12/7/2015,Lekki,Chicken Bali,2000,2,8:01:32 AM,Before 9:00am,,
49,12/12/2015,Lekki,BBQ Philly Steak,4000,1,8:01:34 AM,Before 9:00am,,
50,12/6/2015,Surulere,BBQ Chicken,4000,4,8:01:34 AM,Before 9:00am,,
51,12/5/2015,Ikoyi,Pepperoni Feast,4000,4,8:01:35 AM,Before 9:00am,,
52,12/12/2015,Gbagada,BBQ Philly Steak,4000,1,8:01:36 AM,Before 9:00am,,
53,12/14/2015,Ibadan,BBQ Philly Steak,4000,4,8:01:36 AM,Before 9:00am,,
54,12/14/2015,Ibadan,Pepperoni Suya,3000,2,8:01:37 AM,Before 9:00am,,
55,12/8/2015,Gbagada,Veggie Supreme,3000,5,8:01:37 AM,Before 9:00am,,
56,12/3/2015,Surulere,Chicken Suya,4000,5,8:01:39 AM,Before 9:00am,,
57,12/5/2015,Surulere,Margarita,4000,4,8:01:43 AM,Before 9:00am,,
58,12/13/2015,Surulere,Chicken Bali,2000,5,8:01:44 AM,Before 9:00am,,
59,12/9/2015,Gbagada,Meatzaa,2000,5,8:01:44 AM,Before 9:00am,,
60,12/9/2015,Surulere,BBQ Philly Steak,4000,3,8:01:46 AM,Before 9:00am,,
61,12/11/2015,Lekki,Pepperoni Suya,3000,5,8:01:48 AM,Before 9:00am,,
62,12/6/2015,Gbagada,Chicken Feast,2000,5,8:01:49 AM,Before 9:00am,,
63,12/11/2015,Gbagada,Chicken Feast,2000,4,8:01:52 AM,Before 9:00am,,
64,12/5/2015,Gbagada,Chicken Suya,4000,2,8:01:54 AM,Before 9:00am,,
65,12/14/2015,Ibadan,Chicken Legend,2000,3,8:01:55 AM,Before 9:00am,,
66,12/15/2015,Ikoyi,Chicken Feast,2000,4,8:01:56 AM,Before 9:00am,,
67,12/10/2015,Lekki,Chicken Bali,2000,1,8:02:03 AM,Before 9:00am,,
68,12/8/2015,Ikoyi,Pepperoni Suya,3000,1,8:02:03 AM,Before 9:00am,,
69,12/14/2015,Lekki,Pepperoni Feast,4000,3,8:02:04 AM,Before 9:00am,,
70,12/3/2015,Ibadan,Beef Suya,3000,3,8:02:05 AM,Before 9:00am,,
71,12/3/2015,Surulere,BBQ Chicken,4000,1,8:02:06 AM,Before 9:00am,,
72,12/10/2015,Ikoyi,Pepperoni Feast,4000,3,8:02:10 AM,Before 9:00am,,
73,12/7/2015,Ibadan,Pepperoni Feast,4000,5,8:02:13 AM,Before 9:00am,,
74,12/8/2015,Ikoyi,BBQ Chicken,4000,2,8:02:13 AM,Before 9:00am,,
75,12/6/2015,Gbagada,Extravaganza,2000,5,8:02:18 AM,Before 9:00am,,
76,12/9/2015,Lekki,Chicken Legend,2000,1,8:02:18 AM,Before 9:00am,,
77,12/6/2015,Ikoyi,Pepperoni Suya,3000,2,8:02:22 AM,Before 9:00am,,
78,12/13/2015,Gbagada,Hot Veggie,4000,2,8:02:22 AM,Before 9:00am,,
79,12/7/2015,Lekki,Extravaganza,2000,3,8:02:30 AM,Before 9:00am,,
80,12/4/2015,Surulere,Chicken Suya,4000,3,8:02:31 AM,Before 9:00am,,
81,12/3/2015,Ibadan,Pepperoni Feast,4000,5,8:02:35 AM,Before 9:00am,,
82,12/12/2015,Ikoyi,Pepperoni Feast,4000,3,8:02:36 AM,Before 9:00am,,
83,12/4/2015,Lekki,BBQ Chicken,4000,3,8:02:37 AM,Before 9:00am,,
84,12/8/2015,Ibadan,BBQ Philly Steak,4000,4,8:02:38 AM,Before 9:00am,,
85,12/5/2015,Lekki,Hot Veggie,4000,5,8:02:38 AM,Before 9:00am,,
86,12/13/2015,Lekki,Chicken Bali,2000,1,8:02:42 AM,Before 9:00am,,
87,12/5/2015,Ibadan,Beef Suya,3000,2,8:02:44 AM,Before 9:00am,,
88,12/4/2015,Surulere,BBQ Philly Steak,4000,2,8:02:46 AM,Before 9:00am,,
89,12/7/2015,Ikoyi,Veggie Supreme,3000,4,8:02:47 AM,Before 9:00am,,
90,12/9/2015,Surulere,Chicken Suya,4000,1,8:02:47 AM,Before 9:00am,,
91,12/10/2015,Ibadan,BBQ Chicken,4000,5,8:02:49 AM,Before 9:00am,,
92,12/7/2015,Ikoyi,BBQ Philly Steak,4000,4,8:02:50 AM,Before 9:00am,,
93,12/14/2015,Ibadan,Meatzaa,2000,5,8:02:50 AM,Before 9:00am,,
94,12/5/2015,Gbagada,Hot Veggie,4000,5,8:02:55 AM,Before 9:00am,,
95,12/11/2015,Ikoyi,Italiano,3000,2,8:03:00 AM,Before 9:00am,,
96,12/4/2015,Ikoyi,BBQ Philly Steak,4000,3,8:03:01 AM,Before 9:00am,,
97,12/4/2015,Surulere,Chicken Legend,2000,1,8:03:02 AM,Before 9:00am,,
